,0
0,-13.199999999999989
1,-3.0
2,-0.4000000000000057
3,-1.1999999999999886
4,0.5999999999999943
5,-1.1999999999999886
6,-2.5999999999999943
7,12.800000000000011
8,-1.4000000000000057
9,-4.199999999999989
10,-2.0
11,-30.599999999999994
12,-11.0
13,-11.0
14,0.5999999999999943
15,11.199999999999989
16,-5.199999999999988
17,-9.799999999999997
18,0.19999999999998866
19,7.199999999999988
20,3.8000000000000114
21,-8.0
22,7.0
23,-6.0
24,7.800000000000012
25,16.199999999999992
26,25.199999999999992
27,-1.0
28,-16.199999999999992
29,-9.800000000000011
30,-11.0
31,14.199999999999989
32,8.400000000000006
33,36.80000000000001
34,16.800000000000008
35,-21.0
36,-1.5999999999999943
37,-11.400000000000004
38,-7.400000000000006
39,-10.599999999999994
40,4.400000000000006
41,-16.0
42,3.1999999999999886
43,-6.0
44,21.0
45,5.0
46,1.4000000000000057
47,-18.80000000000001
48,-20.599999999999994
49,5.0
50,-4.800000000000012
51,-18.80000000000001
52,-0.3999999999999773
53,-38.60000000000002
54,-13.399999999999974
55,-2.1999999999999886
56,8.600000000000023
57,47.19999999999999
58,10.600000000000025
59,-28.600000000000023
60,-9.399999999999975
61,-6.800000000000012
62,-6.800000000000012
63,-63.399999999999984
64,-25.800000000000008
65,-6.0
66,13.800000000000011
67,-3.1999999999999886
68,22.399999999999977
69,-20.0
70,7.800000000000012
71,19.399999999999977
72,36.39999999999998
73,11.0
74,-12.0
75,-13.0
76,5.600000000000024
77,43.0
78,-28.0
79,17.199999999999992
80,5.399999999999976
81,22.800000000000008
82,3.6000000000000227
83,42.80000000000001
84,-3.6000000000000227
85,-51.80000000000001
86,-11.0
87,-27.800000000000008
88,-16.800000000000008
89,30.199999999999992
90,0.8000000000000114
91,-8.0
92,-26.600000000000023
93,17.80000000000001
94,-10.199999999999989
95,76.39999999999998
96,-16.199999999999992
97,-15.0
98,-16.199999999999992
99,-6.0
100,141.60000000000005
101,12.200000000000045
102,9.0
103,-44.0
104,-15.0
105,-3.7999999999999545
106,7.0
107,91.60000000000002
108,-27.0
109,-59.0
110,-26.20000000000005
111,-19.600000000000023
112,-35.799999999999955
113,-28.399999999999977
114,-27.600000000000023
115,-27.600000000000023
116,55.79999999999996
117,-9.600000000000025
118,-2.0
119,30.0
120,-13.600000000000026
121,128.79999999999995
122,10.399999999999975
123,-32.799999999999955
124,-12.799999999999955
125,-62.200000000000045
126,201.0
127,-57.0
128,-20.20000000000005
129,51.399999999999984
130,-55.200000000000045
131,76.0
132,-45.399999999999984
133,80.0
134,69.0
135,41.60000000000002
136,-71.20000000000005
137,-96.79999999999997
138,-48.79999999999996
139,-39.60000000000002
140,71.20000000000005
141,13.600000000000026
142,5.600000000000024
143,-14.399999999999974
144,-46.200000000000045
145,124.39999999999998
146,-15.600000000000026
147,0.7999999999999545
148,-32.0
149,-62.399999999999984
150,123.40000000000008
151,3.0
152,33.59999999999991
153,157.20000000000005
154,-15.400000000000093
155,40.0
156,-155.4000000000001
157,53.4000000000001
158,-0.40000000000009095
159,-121.79999999999997
160,9.200000000000044
161,50.4000000000001
162,-60.0
163,-70.20000000000005
164,-93.79999999999997
165,-24.79999999999995
166,117.40000000000008
167,46.0
168,-15.799999999999955
169,88.59999999999991
170,-90.59999999999992
171,79.20000000000005
172,43.4000000000001
173,7.0
174,-44.5999999999999
175,-43.79999999999996
176,186.40000000000006
177,44.200000000000045
178,33.799999999999955
179,21.59999999999991
180,-24.0
181,-22.40000000000009
182,4.2000000000000455
183,22.0
184,80.40000000000009
185,27.59999999999991
186,-49.79999999999996
187,-15.200000000000045
188,-68.40000000000009
189,-8.400000000000091
190,66.0
191,-32.40000000000009
192,-43.5999999999999
193,30.79999999999995
194,23.79999999999995
195,188.79999999999995
196,-55.4000000000001
197,-28.20000000000005
198,7.799999999999954
199,-95.59999999999992
200,111.79999999999997
201,7.799999999999954
202,-105.0
203,-102.0
204,-32.0
205,24.20000000000005
206,-28.79999999999995
207,120.79999999999997
208,80.0
209,20.0
210,-146.20000000000005
211,-30.0
212,-83.20000000000005
213,-98.79999999999997
214,-23.40000000000009
215,-76.20000000000005
216,66.20000000000005
217,4.400000000000091
218,59.200000000000045
219,59.79999999999996
220,20.40000000000009
221,67.40000000000009
222,97.59999999999992
223,119.40000000000008
224,-142.20000000000005
225,-145.20000000000005
226,93.0
227,141.20000000000005
228,-74.0
229,6.2000000000000455
230,95.1999999999998
231,69.0
232,-32.0
233,-30.800000000000185
234,-155.4000000000001
235,1.599999999999909
236,131.5999999999999
237,-4.0
238,5.7999999999999545
239,-13.0
240,17.59999999999991
241,72.59999999999991
242,0.40000000000009095
243,-9.0
244,-22.40000000000009
245,118.59999999999992
246,0.40000000000009095
247,-36.0
248,-138.19999999999982
249,-30.40000000000009
250,-19.199999999999818
251,-70.0
252,-142.0
253,156.80000000000018
254,-84.0
255,45.0
256,-107.8000000000002
257,127.8000000000002
258,44.0
259,8.800000000000182
