,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
10,2644.35,2606.95,2693.65,1318.35,2714.9,2889.15,3417.85,2885.75,2912.95,3204.5,3236.7999999999997,2938.45,3209.6,3246.15,3276.75,2314.5499999999997,3167.1,3117.7999999999997,3213.85,3378.75,3224.9,3066.7999999999997,3257.2,3190.9,3435.7,3235.1,3471.4,3053.2,3265.7,3179.85,3292.0499999999997,3289.5,3407.65,3167.95,3418.7,3411.0499999999997,3321.7999999999997,3557.25,3553.0,3171.35,3165.4,3281.85,3225.75,3358.35,2005.1499999999999,1660.05,2954.6,3020.0499999999997,3207.0499999999997,3205.35,3101.65,3026.0,3245.2999999999997,3196.85,2845.7999999999997,2996.25,3201.95,3113.5499999999997,3379.6,2754.85,2791.4,2844.95,2853.45
11,2623.1,2102.0499999999997,2396.15,1098.2,2241.45,2615.45,2671.5499999999997,2761.65,2606.95,2374.0499999999997,2836.45,2873.0,2541.5,2455.65,2584.85,3737.45,2774.4,2753.15,2762.5,3117.7999999999997,2751.45,2857.7,2687.7,2573.7999999999997,2364.7,2839.85,2765.0499999999997,2725.1,2735.2999999999997,2716.6,2669.85,2867.0499999999997,2492.2,3092.2999999999997,2766.75,2786.2999999999997,2965.65,2691.1,2981.7999999999997,2849.2,2686.0,2858.5499999999997,2785.45,2848.35,2260.15,1938.85,2804.15,2835.6,2680.0499999999997,2721.7,2877.25,2688.5499999999997,2892.5499999999997,2904.45,2839.85,2632.45,3105.9,2920.6,2570.4,2375.75,2532.15,2483.7,2565.2999999999997
12,2041.7,1709.35,1878.5,725.9,1657.5,2399.5499999999997,2242.2999999999997,2279.7,2317.95,2400.4,2417.4,2531.2999999999997,2384.25,2558.5,2215.1,2487.95,2379.15,2354.5,2359.6,2502.4,2527.9,2386.7999999999997,2494.75,2327.2999999999997,2508.35,2556.7999999999997,2496.45,2405.5,2272.0499999999997,2594.2,2513.45,2652.0,2459.0499999999997,2343.45,2783.75,2987.75,2386.7999999999997,2438.65,2567.85,2492.2,2708.95,2503.25,2630.75,2367.25,1979.6499999999999,2009.3999999999999,2443.75,2411.45,2391.9,2510.0499999999997,2310.2999999999997,2645.2,2378.2999999999997,2151.35,2213.4,2558.5,2175.15,2771.0,2527.0499999999997,2119.0499999999997,2364.7,2357.9,2465.85
13,2005.1499999999999,1723.8,1972.85,692.75,2319.65,2160.7,2153.0499999999997,2107.15,2317.1,2421.65,2399.5499999999997,2094.4,2302.65,2051.0499999999997,2405.5,2274.6,2204.0499999999997,2317.1,2189.6,2463.2999999999997,2383.4,2256.75,2558.5,2190.45,2210.0,2233.7999999999997,2290.75,2307.75,2444.6,2376.6,2251.65,2303.5,2364.7,2207.45,2412.2999999999997,2360.45,2236.35,2592.5,2399.5499999999997,2410.6,2261.0,2270.35,2436.95,2476.0499999999997,2267.7999999999997,1873.3999999999999,2534.7,2538.95,2471.7999999999997,2187.9,2306.9,2215.95,2485.4,2650.2999999999997,2201.5,2304.35,2253.35,2348.5499999999997,2426.75,2070.6,1961.8,2085.0499999999997,2477.75
14,1883.6,1765.45,1694.05,1530.0,1820.7,2283.95,2166.65,2507.5,2139.45,2405.5,2344.2999999999997,2494.75,2327.2999999999997,2047.6499999999999,2252.5,2572.1,2303.5,2085.0499999999997,2255.9,2606.1,2493.9,2357.0499999999997,2434.4,2142.0,2317.95,2248.25,2358.75,2288.2,2317.1,2352.7999999999997,2397.85,2217.65,2357.9,2021.3,2297.5499999999997,2395.2999999999997,2396.15,2380.0,2474.35,2459.0499999999997,2297.5499999999997,2278.0,2266.95,2716.6,2132.65,1972.85,2134.35,2293.2999999999997,2245.7,2143.7,2164.1,2140.2999999999997,2371.5,2391.0499999999997,2293.2999999999997,2287.35,2320.5,2266.1,2005.1499999999999,1753.55,2243.15,1900.6,2281.4
15,1790.95,1492.6,1777.35,1988.1499999999999,1788.3999999999999,1849.6,2059.5499999999997,2027.25,2043.3999999999999,2049.35,1960.95,2105.45,2057.0,2193.0,2147.95,2290.75,2232.95,2237.2,2351.95,2191.2999999999997,2380.85,2174.2999999999997,2191.2999999999997,1889.55,2040.0,2272.0499999999997,2005.1499999999999,2118.2,1978.8,2097.7999999999997,2089.2999999999997,2190.45,2228.7,2176.0,2414.85,2567.0,2034.05,2271.2,2185.35,2096.1,1909.1,2118.2,2189.6,2238.9,1993.25,1762.8999999999999,2268.65,2086.75,2220.2,2123.2999999999997,2107.15,2197.25,2238.0499999999997,2011.1,2038.3,2065.5,2119.9,2231.25,2031.5,1884.45,1754.3999999999999,1935.45,1998.35
16,1530.85,1628.6,1514.7,1752.7,1577.6,974.9499999999999,1907.3999999999999,1931.2,1799.45,2067.2,2306.9,1777.35,1867.45,1776.5,1837.7,2185.35,2057.85,1972.0,1932.8999999999999,2287.35,2234.65,1905.7,2359.6,1844.5,2037.45,1980.5,1889.55,1894.6499999999999,1892.1,2181.1,2067.2,2041.7,2095.25,1944.8,2073.15,2109.7,1976.25,2056.15,2164.95,2227.85,2125.0,1956.7,2122.45,1977.1,1907.3999999999999,1983.05,2041.7,2179.4,2153.9,1950.75,2060.4,1971.1499999999999,2000.05,1975.3999999999999,1816.45,1888.7,1912.5,1859.8,2059.5499999999997,1777.35,1855.55,1803.7,2077.4
17,1694.05,1668.55,1658.35,1858.95,1788.3999999999999,1724.6499999999999,1888.7,1922.7,1985.6,2318.7999999999997,2011.1,1975.3999999999999,2061.25,1890.3999999999999,2188.75,2104.6,1899.75,2003.45,2049.35,2133.5,2065.5,1951.6,1989.0,1763.75,2006.85,1981.35,1790.95,1820.7,1904.0,2001.75,1932.8999999999999,2077.4,1879.35,1982.2,2233.7999999999997,2135.2,1938.0,2096.1,2127.5499999999997,2251.65,2000.8999999999999,1970.3,2110.5499999999997,2236.35,1745.8999999999999,1819.0,1903.1499999999999,1921.0,2221.9,2001.75,2062.1,1838.55,2100.35,2176.0,1776.5,2108.0,1773.95,2255.9,1905.7,1874.25,1903.1499999999999,1764.6,1777.35
18,1570.8,1490.05,1688.1,1536.8,1800.3,2121.6,1858.95,1813.8999999999999,1910.8,2034.05,1911.6499999999999,1908.25,1949.8999999999999,1933.75,2054.45,1802.85,1950.75,1802.85,1963.5,2195.5499999999997,1955.85,2004.3,2119.0499999999997,1912.5,1877.6499999999999,1779.8999999999999,1841.1,1955.85,1997.5,2092.7,1921.0,1944.8,2017.05,1871.7,2051.9,2091.0,1921.0,2039.1499999999999,2029.8,2017.05,1867.45,1973.7,2041.7,2153.0499999999997,2006.0,1911.6499999999999,1991.55,2074.0,1580.1499999999999,1926.1,1777.35,1944.8,2036.6,1862.35,2002.6,1994.95,1994.1,2009.3999999999999,1889.55,1697.45,1838.55,1855.55,1994.1
19,1405.05,1271.6,1616.7,1473.05,1461.1499999999999,1521.5,1485.8,1563.1499999999999,1613.3,1704.25,1676.2,1771.3999999999999,1625.2,1598.0,1618.3999999999999,1706.8,1658.35,1668.55,1633.7,1722.95,1837.7,1609.8999999999999,1759.5,1616.7,1828.35,1632.85,1580.1499999999999,1581.85,1547.0,1798.6,1666.85,1802.85,1745.8999999999999,1687.25,1909.1,1731.45,1602.25,1748.45,1748.45,1749.3,1671.95,1705.95,1842.8,1791.8,1791.8,1926.1,1735.7,1614.1499999999999,1993.25,1614.1499999999999,1809.6499999999999,1658.35,1852.1499999999999,1539.35,1643.8999999999999,1558.05,1605.6499999999999,1671.95,1660.05,1606.5,1677.8999999999999,1632.85,1867.45
